recclass reclat
Stone-uncl 35.133330
L/LL6-an 44.666670
H6 32.333330
H5 13.711110
H5 1.000000
H5 21.833330
H6 24.566670
"Iron 1959
H5 14.300000
H4/5 37.750000
L5 41.283330
Stone-uncl 34.166670
LL6 28.716670
Howardite 47.316670
L6 50.283330
L6 55.183330
H3-6 27.333330
Martian (shergottite) 11.733330
H5 47.500000
"Pallasite 1898
H5 32.300000
L6 47.133330
L6 44.400000
H5 49.883330
L6 55.300000
L4 45.816670
H6 47.583330
H5 39.666670
Howardite 51.833330
L6 -15.183330
H5 46.933330
H6 50.200000
H5 26.800000
H3.8 22.721920
H3-6 36.300000
L6 33.850000
H 60.433330
H4 27.239440
L6 27.500000
H5 27.616670
H5 27.816670
L6 27.583330
H3.9/4 27.600000
H3.9/4 27.633330
L5 27.516670
H5 27.533330
L6 27.733330
L6 27.750000
H5 27.750000
H6 27.800000
H5 27.833330
H5 27.800000
L6 27.783330
H4-5 27.716670
L5 27.733330
H5 27.700000
L6 27.700000
H5 27.700000
H6 27.550000
H3.7 27.516670
H3.8 27.516670
H5 27.550000
H5 27.583330
H5/6 27.616670
H5 27.666670
H3.8 27.666670
H4 27.683330
LL6 27.683330
H5 27.666670
L6 27.650000
L6 27.650000
L6 27.633330
H6 27.600000
L5/6 27.583330
LL4-6 27.550000
H5 27.533330
L3.8 27.533330
L5-6 27.466670
L/LL6 27.433330
H5 27.466670
H4 27.516670
L6 27.550000
H5 27.783330
L4 27.833330
H4-5 27.550000
H5 27.416670
H6 27.650000
L5 27.616670
L5 27.750000
H6 27.733330
H5 27.700000
H5 27.500000
L4 27.466670
LL5-6 27.383330
CR2 27.516670
H4 27.566670
H4-5 27.600000
H5 27.600000
Mesosiderite 27.616670
L5 27.616670
H4-5 27.500000
LL3.8-6 27.633330
H5 27.716670
L6 27.550000
L6 27.533330
H4/5 27.683330
L6 27.633330
L5/6 27.633330
H5 27.533330
L6 27.483330
H5 27.516670
H5 27.700000
L6 27.633330
H5 27.566670
L6 27.500000
L3.9 27.633330
LL5-6 27.533330
CV3 27.500000
L6 27.483330
H5 27.550000
H5 27.583330
CV3 27.666670
CR2 27.700000
L6 27.750000
H5 27.633330
H5 27.500000
LL5-6 27.450000
H5 27.666670
L5 27.716670
C2-ung 27.733330
H3.7 27.716670
L4-5 27.616670
CR2 27.516670
H5 27.466670
H5 27.450000
H6 27.466670
L6 27.533330
L3-5 27.666670
H5 27.800000
H4/5 27.633330
L6 27.550000
LL6 27.500000
L6 27.450000
H6 27.500000
H4/5 27.550000
L6 27.483330
H3-6 27.483330
LL4/5 27.650000
LL6 27.566670
CR2 27.600000
H6 27.733330
L6 27.733330
H4 27.733330
L6 27.666670
LL6 
H3.8 27.650000
LL6 27.650000
L5-6 27.683330
L4/5 27.500000
H3.9 27.466670
LL5-6 27.600000
L6 27.683330
LL5-6 27.516670
L6 27.700000
L6 27.500000
H3.7 27.600000
H5 27.583330
LL6 27.583330
H6 27.500000
L3-5 27.500000
L5 27.766670
H5 27.550000
H5 27.466670
H4/5 27.583330
L5 27.666670
CR2 27.566670
L5 27.566670
H5 27.583330
L5 27.566670
L6 27.666670
L6 27.666670
L6 27.666670
H5 27.633330
L6 27.600000
H5 27.583330
L/LL6 27.583330
H5 27.566670
H5 27.466670
H5 27.433330
H3.6-6 27.533330
H5 27.550000
L6 27.666670
L6 27.666670
L6 27.666670
H4/5 27.666670
H3.8 27.500000
LL3.8-6 27.466670
H5 27.750000
H3-6 27.666670
H3.8-5 27.700000
H5 27.533330
H5-6 27.566670
H3-5 27.516670
L5 27.516670
H5 
L6 27.600000
H3.8/4 27.733330
H3.7 27.650000
L6 27.666670
H6 27.650000
LL6 27.483330
LL5-6 27.483330
LL5-6 27.483330
LL5-6 27.483330
H3.7 27.483330
L6 27.466670
H3.9-5 27.600000
L6 27.666670
CH3 27.700000
H5 27.583330
H5 27.566670
LL5 27.533330
CR2 27.466670
CR2 27.466670
H3.9/4 27.583330
H6 27.600000
L6 27.700000
L6 27.700000
H3.9-5 27.650000
LL4-6 27.566670
H5 27.499440
H6 27.524720
H5 27.576940
L6 27.555830
H6 27.516940
L4 27.480280
H3-6 27.501940
L5 27.592220
CO3.5 27.508890
H5 27.578060
H3 27.646390
H5 27.737500
H5 27.690830
CH3 27.688060
LL5 27.504720
CR2 27.504720
H3.7 27.497220
H3.9 27.464720
H5 27.612780
L6 27.681110
CH3 27.690000
L5 27.640280
L6 27.599720
R3.8-5 27.594440
H5 
L6 27.544720
H6 27.521390
H5 27.524170
H5/6 27.532500
H5/6 27.541940
L/LL6 27.541940
H5/6 27.638890
H3 27.645280
H5 27.684440
H6 27.668610
L5 27.573890
H5 27.826110
H5 27.740560
H4/5 27.734720
H5 27.739440
H5/6 27.717220
"Iron 1991
H5 27.518890
LL6 27.510560
H3 27.491670
H4/5 27.503610
H6 27.484440
L6 27.498330
L6 27.515830
L6 27.521110
H6 27.524720
H5 27.563890
L6 27.692220
L4 27.636110
L3.9/4 27.635560
H5/6 27.621670
H6 27.551390
LL5-6 27.509720
L6 27.511110
LL5-6 27.513610
L6 27.522220
L6 27.646110
H5/6 27.646110
H6 27.685280
H6 27.670560
H3-6 27.524440
H5 27.475560
L6 27.709170
H4 27.670000
L6 27.691110
LL6 27.694720
Mesosiderite 27.715000
L6 27.727220
LL5-6 27.510560
LL4-6 27.513890
LL6 27.514720
CR2 27.518610
H6 27.561110
CV3 27.570280
H5/6 27.621940
H6 27.633890
H5-6 27.633610
H5 27.639720
Ureilite 27.639170
H5 27.638610
H5 27.642780
L6 27.535280
L5 27.542220
H6 27.654440
H5 27.700560
H5 27.706110
H4/5 27.631390
H6 27.794720
E4 27.616670
L5 27.591390
CR2 27.474170
L6 27.545280
H6 27.708060
H5 27.718610
LL6 27.665830
H4 27.649720
LL6 27.483330
LL5-6 27.582780
L6 27.633610
L6 27.709170
LL4 27.682500
H6 27.590280
H4 27.527220
H5 27.586940
H5/6 27.602220
H6 27.623610
L6 27.687220
L6 27.428890
L5 27.490830
H5 27.559720
L6 27.645560
H6 27.683610
CR2 27.508060
L5 27.578610
H5 27.600560
H6 27.663890
L/LL6 27.699720
H6 27.687500
LL5 
H5 27.592780
H5 27.550280
L6 27.551940
H5 27.460560
H5 27.545500
L5 27.559170
LL5 27.503000
CR2 27.500830
LL6 27.500000
L6 27.500000
H5 27.733330
CV3 27.733330
L4/5 27.583330
L6 27.650000
CM2 27.583330
CO3 27.733330
CO3 27.566670
L6 27.650000
H4 27.733330
L3.8 27.616670
L3.8 27.683330
H6 27.716670
H5 27.550000
L5 27.583330
L3 27.466670
L6 27.590560
H3-5 27.619722
H3 27.733330
LL5 27.464720
LL6 27.590560
L3 27.683330
L5 27.979330
H6 27.840670
H4 27.672000
L6 27.700000
L5 27.766670
Eucrite-cm 27.489170
LL5 27.500500
LL5 27.589670
EL6 27.612330
LL5 27.500830
H6 27.766670
H6 27.700000
Ureilite 27.483330
H4 27.429580
H5 27.477800
LL4 27.581630
LL6 27.700000
L5 27.609330
CH3 26.609330
H5 27.684330
H4 27.688830
H4 27.667000
Chondrite-ung 27.672500
L5 27.678170
LL6 26.611670
H5 26.625830
CO3 26.608670
LL6 27.508500
H6 27.639500
L4 27.662500
LL6 27.400000
H4 27.411400
H5 27.766670
L6 27.700000
H5 27.633330
L5 27.360170
H4-6 27.558000
H4 27.616670
H5 27.504000
H4 27.502500
H4 27.596170
H~5 27.516670
H~6 27.583330
CR2 27.518670
CR2 27.509170
CR2 27.512000
CR2 27.509000
CR2 27.502170
CR2 27.502670
CR2 27.500830
L5 27.689170
H5 39.776670
L5 32.590330
H5 33.633330
"Pallasite 1962
"Iron 1981
Eucrite-mmict 36.900000
LL3.2 22.993500
H5 39.966670
H5 19.833330
C2-ung 
L5 -67.183330
"Pallasite 1881
H4/5 28.050000
L5 27.816670
L/LL3.10 27.133330
EL5 20.500000
L6 19.640080
H5/6 18.500000
LL3 18.610420
H5 17.679870
H4 35.150000
"Iron 1952
"Iron 1942
"Iron 2000
Eucrite 30.550000
"Iron 1938
H -25.500000
H5 26.966670
L6 26.966670
L6 27.366670
H5 27.333330
H5 27.435830
L6 27.576390
H4 27.507780
L4 27.478890
L3.8 27.428610
H5 27.360560
H4 27.350280
H5 27.517500
L5 27.569720
L5 27.578060
L4 27.509720
L5 27.591670
L6 27.400000
"Pallasite 1909
OC 34.200000
"Iron 1907
H 28.462500
H4 39.538330
H6 40.150000
L6 40.150000
H5 30.709520
Aubrite 27.500000
L4 19.420000
H5 19.271670
L4 19.506950
L5 19.544820
